,chemicalFormula,names,preparation,Chemical Family,Crystallinity,Fracture Toughness,flatFormula,composition,minimum Number,maximum Number,range Number,mean Number,avg_dev Number,mode Number,minimum MendeleevNumber,maximum MendeleevNumber,range MendeleevNumber,mean MendeleevNumber,avg_dev MendeleevNumber,mode MendeleevNumber,minimum AtomicWeight,maximum AtomicWeight,range AtomicWeight,mean AtomicWeight,avg_dev AtomicWeight,mode AtomicWeight,minimum MeltingT,maximum MeltingT,range MeltingT,mean MeltingT,avg_dev MeltingT,mode MeltingT,minimum Column,maximum Column,range Column,mean Column,avg_dev Column,mode Column,minimum Row,maximum Row,range Row,mean Row,avg_dev Row,mode Row,minimum CovalentRadius,maximum CovalentRadius,range CovalentRadius,mean CovalentRadius,avg_dev CovalentRadius,mode CovalentRadius,minimum Electronegativity,maximum Electronegativity,range Electronegativity,mean Electronegativity,avg_dev Electronegativity,mode Electronegativity,minimum NsValence,maximum NsValence,range NsValence,mean NsValence,avg_dev NsValence,mode NsValence,minimum NpValence,maximum NpValence,range NpValence,mean NpValence,avg_dev NpValence,mode NpValence,minimum NdValence,maximum NdValence,range NdValence,mean NdValence,avg_dev NdValence,mode NdValence,minimum NfValence,maximum NfValence,range NfValence,mean NfValence,avg_dev NfValence,mode NfValence,minimum NValence,maximum NValence,range NValence,mean NValence,avg_dev NValence,mode NValence,minimum NsUnfilled,maximum NsUnfilled,range NsUnfilled,mean NsUnfilled,avg_dev NsUnfilled,mode NsUnfilled,minimum NpUnfilled,maximum NpUnfilled,range NpUnfilled,mean NpUnfilled,avg_dev NpUnfilled,mode NpUnfilled,minimum NdUnfilled,maximum NdUnfilled,range NdUnfilled,mean NdUnfilled,avg_dev NdUnfilled,mode NdUnfilled,minimum NfUnfilled,maximum NfUnfilled,range NfUnfilled,mean NfUnfilled,avg_dev NfUnfilled,mode NfUnfilled,minimum NUnfilled,maximum NUnfilled,range NUnfilled,mean NUnfilled,avg_dev NUnfilled,mode NUnfilled,minimum GSvolume_pa,maximum GSvolume_pa,range GSvolume_pa,mean GSvolume_pa,avg_dev GSvolume_pa,mode GSvolume_pa,minimum GSbandgap,maximum GSbandgap,range GSbandgap,mean GSbandgap,avg_dev GSbandgap,mode GSbandgap,minimum GSmagmom,maximum GSmagmom,range GSmagmom,mean GSmagmom,avg_dev GSmagmom,mode GSmagmom,minimum SpaceGroupNumber,maximum SpaceGroupNumber,range SpaceGroupNumber,mean SpaceGroupNumber,avg_dev SpaceGroupNumber,mode SpaceGroupNumber,HOMO_character,HOMO_element,HOMO_energy,LUMO_character,LUMO_element,LUMO_energy,gap_AO,band center,Miedema_deltaH_inter,0-norm,2-norm,3-norm,5-norm,7-norm,10-norm,transition metal fraction,avg s valence electrons,avg p valence electrons,avg d valence electrons,avg f valence electrons,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,cohesive energy,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,dist from 3 clusters |APE| < 0.010,dist from 5 clusters |APE| < 0.010
0,(1-x-y)Al2O3.xAlN.yTiN,['Aluminum oxynitride composite'],[{'name': 'Hot Pressing'}],Al-O-N:TiN,Polycrystalline,6.21,Al2.0O3.0Al0.1N0.1Ti0.1N0.1,N0.2 Al2.1 Ti0.1 O3,7.0,22.0,15.0,10.166666666666668,2.641975308641976,8.0,43.0,87.0,44.0,80.55555555555556,7.267489711934157,87.0,14.0067,47.867,33.860299999999995,20.786568714814816,5.82128884718793,15.9994,54.8,1941.0,1886.2,431.7401851851852,446.1328120713306,54.8,4.0,16.0,12.0,14.574074074074076,1.615912208504801,16.0,2.0,4.0,2.0,2.4259259259259265,0.5048010973936902,2.0,66.0,160.0,94.0,89.31481481481482,27.262002743484228,66.0,1.54,3.44,1.9,2.6783333333333337,0.8730864197530862,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.7222222222222223,1.440329218106996,4.0,0.0,2.0,2.0,0.03703703703703704,0.07270233196159125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.7592592592592595,1.3964334705075447,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.1666666666666674,1.4259259259259263,2.0,0.0,8.0,8.0,0.14814814814814817,0.290809327846365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.3148148148148153,1.4842249657064475,2.0,9.105,16.69,7.585000000000001,12.323287037037037,3.575874485596708,9.105,0.0,6.437,6.437,0.23840740740740746,0.45915500685871063,0.0,0.0,2.25333333333e-05,2.25333333333e-05,4.172839506166667e-07,8.191129400993828e-07,0.0,12.0,225.0,213.0,104.94444444444444,103.27160493827162,12.0,p,Al,-0.102545,p,Al,-0.102545,0.0,-2.5111758235049924,,4,0.6794050491794127,0.6129928732466036,0.5730880726924956,0.5618720335824541,0.5571052641496912,0.018518518518518517,2.0,2.7222222222222223,0.03703703703703704,0.0,0.4202334630350194,0.5719844357976653,0.007782101167315176,0.0,,0.39337870320939994,,-0.03674098383210036,0.0409300244128045,0.030396414284962602,0.039675497595456834,0.051521279200044
1,3Al2O3.2SiO2,['Mullite'],[{'name': 'Hot Pressing'}],Al-Si-O,Polycrystalline,1.8,Al6.0O9.0Si2.0O4.0,Si2 Al6 O13,8.0,14.0,6.0,10.0,2.4761904761904763,8.0,73.0,87.0,14.0,82.14285714285714,6.013605442176872,87.0,15.9994,28.0855,12.0861,20.288211028571432,5.309956511564627,15.9994,54.8,1687.0,1632.2,461.2961904761904,503.2809977324262,54.8,13.0,16.0,3.0,14.952380952380953,1.2970521541950113,16.0,2.0,3.0,1.0,2.380952380952381,0.47165532879818595,2.0,66.0,121.0,55.0,86.0,24.761904761904763,66.0,1.61,3.44,1.8299999999999998,2.7704761904761903,0.8289342403628117,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.9523809523809526,1.2970521541950113,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.9523809523809526,1.2970521541950113,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0476190476190474,1.2970521541950113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0476190476190474,1.2970521541950113,2.0,9.105,20.44,11.335,12.291666666666666,3.945396825396825,9.105,0.0,0.773,0.773,0.07361904761904763,0.1332154195011338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,93.33333333333333,100.69841269841271,12.0,p,O,-0.338381,p,O,-0.338381,0.0,-2.6169552471683235,,3,0.6884205854667124,0.6394093290924447,0.6216296075570789,0.6194415776633541,0.6190747662254752,0.0,2.0,2.9523809523809526,0.0,0.0,0.40384615384615385,0.5961538461538461,0.0,0.0,,0.38320902862112316,,-0.0018658428271534817,0.0061379130736918044,0.014580296087995112,0.04586463352111008,0.060307279976041114
2,3Al2O3.2SiO2,['Mullite'],[{'name': 'Sintering'}],Al-Si-O,Polycrystalline,2.80375,Al6.0O9.0Si2.0O4.0,Si2 Al6 O13,8.0,14.0,6.0,10.0,2.4761904761904763,8.0,73.0,87.0,14.0,82.14285714285714,6.013605442176872,87.0,15.9994,28.0855,12.0861,20.288211028571432,5.309956511564627,15.9994,54.8,1687.0,1632.2,461.2961904761904,503.2809977324262,54.8,13.0,16.0,3.0,14.952380952380953,1.2970521541950113,16.0,2.0,3.0,1.0,2.380952380952381,0.47165532879818595,2.0,66.0,121.0,55.0,86.0,24.761904761904763,66.0,1.61,3.44,1.8299999999999998,2.7704761904761903,0.8289342403628117,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.9523809523809526,1.2970521541950113,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.9523809523809526,1.2970521541950113,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0476190476190474,1.2970521541950113,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0476190476190474,1.2970521541950113,2.0,9.105,20.44,11.335,12.291666666666666,3.945396825396825,9.105,0.0,0.773,0.773,0.07361904761904763,0.1332154195011338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,93.33333333333333,100.69841269841271,12.0,p,O,-0.338381,p,O,-0.338381,0.0,-2.6169552471683235,,3,0.6884205854667124,0.6394093290924447,0.6216296075570789,0.6194415776633541,0.6190747662254752,0.0,2.0,2.9523809523809526,0.0,0.0,0.40384615384615385,0.5961538461538461,0.0,0.0,,0.38320902862112316,,-0.0018658428271534817,0.0061379130736918044,0.014580296087995112,0.04586463352111008,0.060307279976041114
3,3Al2O3.2SiO2.Si2–xAlxO1+xN2–x,['Mullite composite'],[{'name': 'Sintering'}],Al-Si-O:sialon,Polycrystalline,3.4,Al6.0O9.0Si2.0O4.0Si2.0Al0.0O0.1N0.2,Si4 N0.2 Al6 O13.1,7.0,14.0,7.0,10.309012875536482,2.6532078321575274,8.0,73.0,87.0,14.0,81.8068669527897,5.8428042513216285,87.0,14.0067,28.0855,14.0788,20.885180755364804,5.611967729300595,15.9994,54.8,1687.0,1632.2,561.3437768240344,578.1443975759362,54.8,13.0,16.0,3.0,14.875536480686696,1.2665549190443735,16.0,2.0,3.0,1.0,2.429184549356223,0.48997034390023747,2.0,66.0,121.0,55.0,87.93133047210299,24.951647663430894,66.0,1.61,3.44,1.8299999999999998,2.7009442060085838,0.8368619794065094,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.875536480686695,1.2665549190443735,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.875536480686695,1.2665549190443735,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.1244635193133043,1.2665549190443737,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.1244635193133043,1.2665549190443737,2.0,9.105,20.44,11.335,12.99868025751073,4.37830140544125,9.105,0.0,6.437,6.437,0.18795708154506438,0.30815281180349613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,105.32188841201716,104.93705907274034,12.0,s,Al,-0.286883,s,Al,-0.286883,0.0,-2.5522876124938185,,4,0.6418425878428077,0.5846672549062848,0.5647735794016624,0.5625905557356969,0.5622549924236417,0.0,2.0,2.875536480686695,0.0,0.0,0.4102112676056338,0.5897887323943662,0.0,0.0,,0.3642700049978809,,-0.01030041618028354,0.014642781333780271,0.024503852836853655,0.04274950489516904,0.04973779269787358
4,3Al2O3.2SiO2.xMg2Fe2Al4Si5O18,['Mullite composite'],[{'name': 'Sintering'}],Al-Si-O:Mg,Polycrystalline,2.0,Al6.0O9.0Si2.0O4.0Mg0.2Fe0.2Al0.4Si0.5O1.8,Si2.5 Al6.4 Fe0.2 Mg0.2 O14.8,8.0,26.0,18.0,10.132780082987551,2.619514126822885,8.0,55.0,87.0,32.0,81.9253112033195,6.2328127959229365,87.0,15.9994,55.845,39.8456,20.569158383402492,5.612649300776503,15.9994,54.8,1811.0,1756.2,479.234356846473,521.2969694047968,54.8,2.0,16.0,14.0,14.813278008298754,1.4575506620065084,16.0,2.0,4.0,2.0,2.3941908713692945,0.4841514436734904,2.0,66.0,141.0,75.0,86.44398340248964,25.109622768203028,66.0,1.31,3.44,2.13,2.7632365145228213,0.8312115838225927,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.9294605809128633,1.3148533943974794,4.0,0.0,6.0,6.0,0.049792531120331954,0.09875863018887415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,4.979253112033195,1.3038343003736161,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.9709543568464727,1.2911623422461733,2.0,0.0,4.0,4.0,0.03319502074688797,0.06583908679258277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.004149377593361,1.2831734990788723,2.0,9.105,22.89,13.785,12.367219917012449,4.033883714123379,9.105,0.0,0.773,0.773,0.08018672199170125,0.14373719460753084,0.0,0.0,2.1106628,2.1106628,0.01751587385892116,0.03474102781976894,0.0,12.0,229.0,217.0,94.1784232365145,100.93283517845768,12.0,p,Si,-0.153293,p,Si,-0.153293,0.0,-2.609138032741926,,5,0.6771626594861982,0.6311701444786203,0.6159706713038406,0.6143559972631136,0.6141219254787826,0.008298755186721992,2.0,2.9294605809128633,0.049792531120331954,0.0,0.40166666666666667,0.5883333333333334,0.01,0.0,,0.3823436425187359,,0.002332108625397505,0.007387336427949368,0.036798524359600154,0.040869152186107344,0.04748164574368423
5,3Al2O3.2SiO2.xZrO2,['Mullite composite'],[{'name': 'Sintering'}],Al-Si-O:ZrO,Polycrystalline,3.205,Al6.0O9.0Si2.0O4.0Zr0.1O0.2,Si2 Al6 Zr0.1 O13.2,8.0,40.0,32.0,10.122065727699532,2.630165972359982,8.0,44.0,87.0,43.0,82.00938967136152,6.185545196058979,87.0,15.9994,91.224,75.22460000000001,20.580972375586857,5.678568578192158,15.9994,54.8,2128.0,2073.2,465.3042253521127,508.7939694505059,54.8,4.0,16.0,12.0,14.910798122065732,1.3499966937776888,16.0,2.0,5.0,3.0,2.3896713615023475,0.482972955101501,2.0,66.0,175.0,109.0,86.23004694835682,25.07386100641408,66.0,1.33,3.44,2.11,2.77,0.8304225352112676,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.9483568075117375,1.3034450836474243,4.0,0.0,2.0,2.0,0.00938967136150235,0.01869117679472768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.95774647887324,1.2918071811148581,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0234741784037564,1.2969208049549255,2.0,0.0,8.0,8.0,0.0375586854460094,0.07476470717891072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.061032863849766,1.315082986179991,2.0,9.105,23.195,14.09,12.31293427230047,3.9760312107386113,9.105,0.0,0.773,0.773,0.07258215962441315,0.13153386673719944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,93.04225352112677,100.44673675857966,12.0,s,Al,-0.286883,s,Al,-0.286883,0.0,-2.6153596038860236,,4,0.6871962989814295,0.6392171258756422,0.6221145806807787,0.6200727890418339,0.6197416391373846,0.0,2.0,2.9483568075117375,0.00938967136150235,0.0,0.4034090909090909,0.5946969696969697,0.0018939393939393942,0.0,,0.3846811952517374,,-0.002397407825869825,0.00664895773711994,0.01615715950461998,0.04599575979947077,0.0577158710440671
6,3Al2O3.2SiO2.ySi6-xAlxOxN8-x,['Mullite composite'],[{'name': 'Sintering'}],Al-Si-O:sialon,Polycrystalline,3.5,Al6.0O9.0Si2.0O4.0Si0.6Al0.0O0.0N0.8,Si2.6 N0.8 Al6 O13,7.0,14.0,7.0,9.999999999999998,2.535714285714285,8.0,73.0,87.0,14.0,82.0267857142857,5.772480867346942,87.0,14.0067,28.0855,14.0788,20.272727303571425,5.407685427614795,15.9994,54.8,1687.0,1632.2,479.9044642857142,523.2001434948978,54.8,13.0,16.0,3.0,14.928571428571425,1.2487244897959189,16.0,2.0,3.0,1.0,2.383928571428571,0.47305484693877536,2.0,66.0,121.0,55.0,86.13392857142856,24.450733418367342,66.0,1.61,3.44,1.8299999999999998,2.756785714285714,0.8132461734693877,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.928571428571429,1.2487244897959182,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.928571428571428,1.2487244897959184,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0714285714285716,1.2487244897959182,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0714285714285716,1.2487244897959182,2.0,9.105,20.44,11.335,12.598392857142857,4.0548309948979595,9.105,0.0,6.437,6.437,0.3196160714285714,0.5422058354591837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,100.50892857142854,102.73357780612243,12.0,s,Al,-0.286883,s,Al,-0.286883,0.0,-2.6085317475492706,,4,0.6506227393655956,0.6002776977377323,0.5828045464755753,0.5807273680336044,0.5803825988460263,0.0,2.0,2.928571428571429,0.0,0.0,0.4057971014492754,0.5942028985507247,0.0,0.0,,0.37525461888183065,,-0.0010817383845249363,0.005857194311576642,0.021044844678171068,0.03907618359130258,0.049254618950827736
7,3Al2O3.2SiO3.2ZrO2,['Mullite composite'],[{'name': 'Hot Pressing'}],Al-Si-O:ZrO,Polycrystalline,4.5,Al6.0O9.0Si2.0O6.0Zr2.0O4.0,Si2 Al6 Zr2 O19,8.0,40.0,32.0,11.655172413793103,4.789536266349583,8.0,44.0,87.0,43.0,80.51724137931035,8.494649227110582,87.0,15.9994,91.224,75.22460000000001,24.29299419310345,10.867468253032106,15.9994,54.8,2128.0,2073.2,492.13862068965517,573.0643995243757,54.8,4.0,16.0,12.0,14.413793103448276,2.0784780023781213,16.0,2.0,5.0,3.0,2.4827586206896552,0.6325802615933412,2.0,66.0,175.0,109.0,88.0,28.82758620689655,66.0,1.33,3.44,2.11,2.809655172413793,0.8259690844233055,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.9655172413793105,1.3555291319857312,4.0,0.0,2.0,2.0,0.13793103448275862,0.2568370986920333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.103448275862069,1.1747919143876338,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,2.6206896551724137,1.1747919143876338,2.0,0.0,8.0,8.0,0.5517241379310345,1.0273483947681332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,6.0,3.1724137931034484,1.536266349583829,2.0,9.105,23.195,14.09,12.384310344827586,4.297027348394768,9.105,0.0,0.773,0.773,0.05331034482758621,0.09926753864447088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,227.0,215.0,83.44827586206897,93.62187871581453,12.0,p,O,-0.338381,p,O,-0.338381,0.0,-2.642991273928327,,4,0.6939521309482106,0.6624775475288976,0.6555867799852599,0.655201748364831,0.6551730599602591,0.0,2.0,2.9655172413793105,0.13793103448275862,0.0,0.3918918918918919,0.581081081081081,0.027027027027027025,0.0,,0.40667823177087753,,0.010413130344155065,0.012685913827021793,0.026956412412778324,0.03340550774825761,0.04190826787411448
8,Al2O3,['Alumina'],[{'name': 'Crystal Growth'}],Al-O,Single Crystal,4.6,Al2.0O3.0,Al2 O3,8.0,13.0,5.0,10.0,2.4,8.0,73.0,87.0,14.0,81.4,6.719999999999999,87.0,15.9994,26.9815386,10.9821386,20.39225544,5.271426528000001,15.9994,54.8,933.47,878.6700000000001,406.26800000000003,421.7616,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.4,0.48,2.0,66.0,121.0,55.0,88.0,26.4,66.0,1.61,3.44,1.8299999999999998,2.708,0.8783999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,16.48,7.375,12.055000000000001,3.5400000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,p,O,-0.338381,s,Al,-0.286883,0.05149799999999999,-2.539015873134176,,2,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,0.0,2.0,2.8,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,,0.3979128907052843,,-0.031970995159574446,0.031970995159574446,0.09428090415820664,0.11448395504925057,0.18101546937114554
9,Al2O3,['Alumina'],[{'name': 'Hot Isostatic Pressing'}],Al-O,Polycrystalline,4.0,Al2.0O3.0,Al2 O3,8.0,13.0,5.0,10.0,2.4,8.0,73.0,87.0,14.0,81.4,6.719999999999999,87.0,15.9994,26.9815386,10.9821386,20.39225544,5.271426528000001,15.9994,54.8,933.47,878.6700000000001,406.26800000000003,421.7616,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.4,0.48,2.0,66.0,121.0,55.0,88.0,26.4,66.0,1.61,3.44,1.8299999999999998,2.708,0.8783999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,16.48,7.375,12.055000000000001,3.5400000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,p,O,-0.338381,s,Al,-0.286883,0.05149799999999999,-2.539015873134176,,2,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,0.0,2.0,2.8,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,,0.3979128907052843,,-0.031970995159574446,0.031970995159574446,0.09428090415820664,0.11448395504925057,0.18101546937114554
10,Al2O3,['Alumina'],[{'name': 'Hot Pressing'}],Al-O,Polycrystalline,3.186666666666667,Al2.0O3.0,Al2 O3,8.0,13.0,5.0,10.0,2.4,8.0,73.0,87.0,14.0,81.4,6.719999999999999,87.0,15.9994,26.9815386,10.9821386,20.39225544,5.271426528000001,15.9994,54.8,933.47,878.6700000000001,406.26800000000003,421.7616,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.4,0.48,2.0,66.0,121.0,55.0,88.0,26.4,66.0,1.61,3.44,1.8299999999999998,2.708,0.8783999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,16.48,7.375,12.055000000000001,3.5400000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,p,O,-0.338381,s,Al,-0.286883,0.05149799999999999,-2.539015873134176,,2,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,0.0,2.0,2.8,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,,0.3979128907052843,,-0.031970995159574446,0.031970995159574446,0.09428090415820664,0.11448395504925057,0.18101546937114554
11,Al2O3,['Alumina'],[{'name': 'Injection Molding'}],Al-O,Polycrystalline,4.1,Al2.0O3.0,Al2 O3,8.0,13.0,5.0,10.0,2.4,8.0,73.0,87.0,14.0,81.4,6.719999999999999,87.0,15.9994,26.9815386,10.9821386,20.39225544,5.271426528000001,15.9994,54.8,933.47,878.6700000000001,406.26800000000003,421.7616,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.4,0.48,2.0,66.0,121.0,55.0,88.0,26.4,66.0,1.61,3.44,1.8299999999999998,2.708,0.8783999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,16.48,7.375,12.055000000000001,3.5400000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,p,O,-0.338381,s,Al,-0.286883,0.05149799999999999,-2.539015873134176,,2,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,0.0,2.0,2.8,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,,0.3979128907052843,,-0.031970995159574446,0.031970995159574446,0.09428090415820664,0.11448395504925057,0.18101546937114554
12,Al2O3,['Alumina'],[{'name': 'Sintering'}],Al-O,Polycrystalline,3.6254545454545455,Al2.0O3.0,Al2 O3,8.0,13.0,5.0,10.0,2.4,8.0,73.0,87.0,14.0,81.4,6.719999999999999,87.0,15.9994,26.9815386,10.9821386,20.39225544,5.271426528000001,15.9994,54.8,933.47,878.6700000000001,406.26800000000003,421.7616,54.8,13.0,16.0,3.0,14.8,1.44,16.0,2.0,3.0,1.0,2.4,0.48,2.0,66.0,121.0,55.0,88.0,26.4,66.0,1.61,3.44,1.8299999999999998,2.708,0.8783999999999998,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.8,1.44,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,4.8,1.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.2,1.44,2.0,9.105,16.48,7.375,12.055000000000001,3.5400000000000005,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24000000000001,12.0,p,O,-0.338381,s,Al,-0.286883,0.05149799999999999,-2.539015873134176,,2,0.7211102550927979,0.6542132620377179,0.6150303314869644,0.6048951994087753,0.6010324601930125,0.0,2.0,2.8,0.0,0.0,0.4166666666666667,0.5833333333333334,0.0,0.0,,0.3979128907052843,,-0.031970995159574446,0.031970995159574446,0.09428090415820664,0.11448395504925057,0.18101546937114554
